,Open,Close,Volume,Quote-Asset-Volume,Number-Of-Trades,Taker-Buy-Base-Asset-Volume,Date,positive_tweets,negative_tweets,neutral_tweets,Volume-Change,Quote-Asset-Volume-Change,Open-Close-Change,total_tweets,percentage_changes
35,39725.68,40882.95,3377.412442,132594958.53818326,75026,1638.868898,2021-08-05,5536,1013,6268,1087.084687,43784491.7796986,1157,12817,2.912473744942818
36,40883.36,42874.98,3210.788191,133517459.61042944,66729,1544.849044,2021-08-06,6942,1373,7680,-166.62425099999973,922501.072246179,1991,15995,4.869951980463445
37,42874.98,44600.86,3261.024914,142187148.61382285,60528,1485.917788,2021-08-07,5983,906,6297,50.236722999999984,8669689.003393412,1726,13186,4.025657854534276
38,44608.28,43835.04,2989.068905,132671172.43782216,53988,1518.397184,2021-08-08,15772,2345,15717,-271.956009,-9515976.176000684,-773,33834,-1.7328621502555133
39,43828.73,46267.01,3649.601154,164078845.82112277,62741,1824.451851,2021-08-09,23904,3948,25649,660.5322489999999,31407673.3833006,2439,53501,5.564842969440365
44,47824.57,47092.92,2150.211364,101094188.79756498,52473,1002.291341,2021-08-14,6434,854,6389,17.58903399999963,1926553.9751569035,-732,13677,-1.5305940022043063
45,47110.63,47003.87,1826.298057,84540663.56676905,44520,880.16971,2021-08-15,14709,2090,13292,-323.9133069999998,-16553525.230795937,-107,30091,-0.22712496096953066
46,47013.5,45876.97,2167.450528,101503127.30018812,52843,1121.243797,2021-08-16,16037,2266,14157,341.1524709999999,16962463.733419076,-1137,32460,-2.418454273772427
47,45906.48,44648.84,2288.389963,104816676.0157928,51968,1153.744192,2021-08-17,18104,2438,14776,120.93943500000024,3313548.715604678,-1258,35318,-2.740353867253599
48,44701.83,44717.35,2282.195001,103062115.56190726,49703,1136.703323,2021-08-18,19561,2556,16110,-6.194962000000032,-1754560.4538855404,16,38227,0.03579271810572408
49,44731.72,46753.72,2377.183358,107737486.67862809,52709,1129.929356,2021-08-19,15817,2529,15926,94.98835700000018,4675371.116720825,2022,34272,4.520282251610267
50,46758.32,49326.64,2518.777422,120461957.51594436,57757,1204.295954,2021-08-20,18417,2811,18063,141.5940639999999,12724470.837316277,2568,39291,5.492070715970976
51,49347.44,48858.83,1708.863497,83841919.4241872,45057,880.358958,2021-08-21,4927,705,5296,-809.9139250000001,-36620038.09175716,-489,10928,-0.9909328629813421
53,49276.5,49545.26,2109.418562,105410115.50105284,48068,1143.803097,2021-08-23,4634,655,5214,990.0230789999998,50734120.36446344,269,10503,0.5458991608576097
54,49508.47,47700.91,2248.857081,109484996.1383342,49061,1102.13511,2021-08-24,13062,1772,12071,139.43851900000027,4074880.6372813582,-1808,26905,-3.651900371794967
55,47688.01,48991.76,1868.964933,90048587.7765573,42415,848.934895,2021-08-25,27796,2902,16345,-379.8921480000001,-19436408.361776903,1303,47043,2.732342993553306
56,48984.49,46863.0,1872.83558,88482920.42599408,39478,889.835199,2021-08-26,20315,2777,16074,3.870646999999962,-1565667.3505632132,-2121,39166,-4.329941987759799
