1617235200000,58760.10000000,59500.00000000,57920.00000000,58713.10000000,1612.43585300,1617321599999,94831869.73017408,43709,807.64738200,47508040.68638554,0
1617321600000,58705.79000000,60143.55000000,58448.76000000,58968.56000000,1415.25845000,1617407999999,83966055.66555860,54954,734.14714700,43577765.80944202,0
1617408000000,58964.97000000,59999.00000000,56897.78000000,57091.96000000,1474.74188800,1617494399999,86562089.61869634,47286,680.66133300,40006514.12483267,0
1617494400000,57065.56000000,58500.00000000,56456.41000000,58221.71000000,1198.04227500,1617580799999,69111094.48958089,46180,538.60223000,31091469.39708913,0
1617580800000,58209.31000000,59263.05000000,56781.24000000,59142.84000000,1558.39660400,1617667199999,90897008.64294871,50627,690.27542700,40227028.52577232,0
1617667200000,59142.80000000,59499.79000000,57386.73000000,57987.27000000,1502.70236800,1617753599999,87718695.01241105,58829,686.25700200,40097621.46627672,0
1617753600000,57987.29000000,58654.95000000,55445.46000000,55941.32000000,2205.62085000,1617839999999,125284899.50552952,65937,1093.87397300,62113208.67966448,0
1617840000000,55944.12000000,58157.89000000,55677.77000000,58087.01000000,1512.53976700,1617926399999,86544377.11935324,55710,607.74761700,34769882.57443141,0
1617926400000,58065.80000000,58881.43000000,57653.65000000,58109.40000000,1369.78256500,1618012799999,79776387.67726282,47664,495.35301100,28848435.12754784,0
1618012800000,58115.40000000,61284.36000000,57868.23000000,59778.35000000,1591.48747600,1618099199999,95384873.18056490,51556,780.85485300,46816908.86120281,0
1618099200000,59763.24000000,60675.00000000,59171.56000000,59954.82000000,1071.16763800,1618185599999,64048774.73682969,37275,484.73810500,28982078.75618990,0
1618185600000,59961.48000000,61240.60000000,59350.00000000,59830.82000000,1538.87441700,1618271999999,92563525.90063535,53441,692.91580500,41692571.81618240,0
1618272000000,59819.35000000,63770.99000000,59772.36000000,63554.56000000,2152.86384300,1618358399999,134206597.97305150,67819,1074.52840100,66884853.03558868,0
1618358400000,63583.85000000,64882.47000000,61109.00000000,62963.80000000,2610.12368800,1618444799999,165254691.18325011,82454,1379.13074200,87355356.49473987,0
1618444800000,62963.80000000,63862.20000000,62032.95000000,63224.59000000,1571.28096700,1618531199999,98865592.21371554,54255,686.58014700,43184454.14462501,0
1618531200000,63224.58000000,63581.56000000,60015.30000000,61404.30000000,2532.39748500,1618617599999,155921698.43549736,77765,1202.71499300,74011214.54751295,0
1618617600000,61415.60000000,62583.55000000,59659.33000000,60046.12000000,1701.28182600,1618703999999,104358790.38855043,51788,847.55709700,52038388.02333026,0
1618704000000,60066.30000000,60420.87000000,51035.68000000,56265.18000000,4639.89497700,1618790399999,258631685.38799201,117769,2201.48340400,122805300.53188445,0
1618790400000,56248.84000000,58000.00000000,54245.51000000,55664.34000000,2781.46273200,1618876799999,156375551.95394916,86538,1386.39523000,77867814.05638543,0
1618876800000,55674.40000000,57200.00000000,53403.37000000,56474.41000000,2973.94942400,1618963199999,165496560.93875977,79472,1480.63856500,82393611.49582721,0
1618963200000,56482.87000000,56823.75000000,53450.12000000,53803.99000000,3248.98277500,1619049599999,179923800.95944000,76862,1551.90291400,85973137.26629628,0
1619049600000,53811.62000000,55500.00000000,50469.00000000,51736.97000000,4407.93670100,1619135999999,235666041.31434941,95823,2269.68699700,121372698.69757296,0
1619136000000,51712.24000000,52125.87000000,47464.46000000,51121.14000000,5274.85311400,1619222399999,262031699.82299926,109076,2656.85187500,132039521.95008789,0
1619222400000,51161.12000000,51196.80000000,47718.92000000,50105.00000000,2375.97798500,1619308799999,118675168.93529339,49159,1241.88906100,62022427.81333348,0
1619308800000,50099.71000000,50599.99000000,47013.71000000,49123.01000000,1979.09038400,1619395199999,97689453.15128463,44481,997.97634500,49262884.45848973,0
1619395200000,49123.07000000,54597.25000000,48835.81000000,54055.99000000,3280.13329500,1619481599999,173549103.12017624,78606,1614.93600300,85473198.36743263,0
1619481600000,54040.75000000,55500.00000000,53307.49000000,55068.14000000,1891.36144800,1619567999999,103370318.94403161,53794,977.62391300,53436866.47787870,0
1619568000000,55064.80000000,56489.53000000,53864.59000000,54877.50000000,1993.68212700,1619654399999,109247737.14295873,59284,991.55582600,54323852.09843808,0
1619654400000,54877.50000000,55225.12000000,52360.10000000,53580.60000000,1800.21107400,1619740799999,96779795.21048271,49115,883.03144400,47452406.76835005,0
1619740800000,53591.28000000,58000.04000000,53077.54000000,57764.76000000,2042.90135100,1619827199999,113235781.14032069,58802,1011.67520600,56162374.27000063,0
