,Unnamed: 0,Open,Close,Volume,Quote-Asset-Volume,Number-Of-Trades,Taker-Buy-Base-Asset-Volume,Date,positive_tweets,negative_tweets,neutral_tweets,Volume-Change,Quote-Asset-Volume-Change,Open-Close-Change
17,17,31519.62,31782.76,1428.174778,45314004.00391065,30625,526.293,2021-07-18,13998,1712,10529,58.59477900000002,2118375.8485299796,263
18,18,31786.78,30828.98,1935.711841,60112385.55411254,35453,739.554305,2021-07-19,14377,2391,12163,507.537063,14798381.550201885,-958
19,19,30832.11,29793.63,2982.969645,88808864.57486092,45562,1511.197298,2021-07-20,13521,2862,14550,1047.257804,28696479.020748377,-1039
20,20,29795.9,32128.31,3712.687393,116841242.55082545,59579,1772.270575,2021-07-21,17769,2677,18465,729.717748,28032377.97596453,2333
21,21,32148.48,32288.94,2160.164618,69425725.46095881,35438,1034.973581,2021-07-22,14691,2078,14064,-1552.5227750000004,-47415517.08986664,140
22,22,32289.95,33636.26,2144.926074,69989670.1658138,42135,947.220608,2021-07-23,18739,2681,22115,-15.23854399999982,563944.704854995,1347
23,23,33652.22,34264.68,2469.018466,83715740.84094533,40767,1013.366473,2021-07-24,15437,2362,14332,324.092392,13726070.67513153,612
24,24,34275.19,35401.94,1727.279399,59467879.92423093,31864,805.649677,2021-07-25,5707,1060,4842,-741.739067,-24247860.9167144,1126
25,25,35403.88,37248.41,7281.061858,278910615.572973,107301,3547.975993,2021-07-26,9592,2220,15679,5553.782459,219442735.64874208,1845
26,26,37250.03,39479.37,5201.987097,195967464.51557487,72932,2369.408594,2021-07-27,6623,1137,6188,-2079.074761,-82943151.05739814,2229
27,27,39469.3,40013.65,6663.970452,265947233.5816349,86353,3785.427502,2021-07-28,7128,1396,6967,1461.9833549999994,69979769.06606004,544
28,28,40028.89,40035.89,3481.872251,138999257.60724887,50016,1586.212137,2021-07-29,7834,1291,9909,-3182.098201,-126947975.97438604,7
29,29,40033.89,42230.35,4310.914026,171249348.27940023,62674,2510.69061,2021-07-30,17372,3083,17937,829.0417750000006,32250090.672151357,2197
30,30,42225.61,41481.71,2153.959358,89810997.32033959,36222,985.831439,2021-07-31,0,0,0,-2156.9546680000003,-81438350.95906064,-744
31,31,41493.12,39856.79,2450.14526,100957068.86980098,44731,1101.934501,2021-08-01,0,0,0,296.1859019999997,11146071.549461395,-1637
32,32,39866.51,39150.89,2260.514767,89410786.84348324,39590,1144.197319,2021-08-02,0,0,0,-189.63049299999966,-11546282.026317745,-716
33,33,39159.43,38202.95,2590.179306,99354374.7653386,41880,1302.388448,2021-08-03,0,0,0,329.6645389999999,9943587.92185536,-957
34,34,38209.9,39734.78,2290.327755,88810466.75848466,47569,1080.773132,2021-08-04,712,133,928,-299.8515510000002,-10543908.006853938,1525
35,35,39725.68,40882.95,3377.412442,132594958.53818326,75026,1638.868898,2021-08-05,5536,1013,6268,1087.084687,43784491.779698595,1157
36,36,40883.36,42874.98,3210.788191,133517459.61042944,66729,1544.849044,2021-08-06,6942,1373,7680,-166.62425099999973,922501.072246179,1991
37,37,42874.98,44600.86,3261.024914,142187148.61382285,60528,1485.917788,2021-08-07,5983,906,6297,50.236722999999984,8669689.003393412,1726
38,38,44608.28,43835.04,2989.068905,132671172.43782216,53988,1518.397184,2021-08-08,15772,2345,15717,-271.956009,-9515976.176000684,-773
39,39,43828.73,46267.01,3649.601154,164078845.82112277,62741,1824.451851,2021-08-09,23904,3948,25649,660.5322489999999,31407673.383300602,2439
40,40,46269.61,45598.01,2279.479893,103912138.7977436,46303,1099.997507,2021-08-10,0,0,0,-1370.1212609999998,-60166707.02337916,-671
41,41,45603.14,45532.33,2176.991137,100430895.45937032,54493,1112.430202,2021-08-11,0,0,0,-102.4887560000002,-3481243.3383732885,-71
42,42,45543.49,44433.43,2562.025665,114776330.29506126,54239,1278.502159,2021-08-12,0,0,0,385.03452800000014,14345434.835690945,-1110
43,43,44437.8,47831.83,2132.62233,99167634.82240808,50544,1112.208146,2021-08-13,0,0,0,-429.40333499999997,-15608695.47265318,3394
44,44,47824.57,47092.92,2150.211364,101094188.79756498,52473,1002.291341,2021-08-14,6434,854,6389,17.58903399999963,1926553.9751569033,-732
45,45,47110.63,47003.87,1826.298057,84540663.56676905,44520,880.16971,2021-08-15,14709,2090,13292,-323.9133069999998,-16553525.230795935,-107
46,46,47013.5,45876.97,2167.450528,101503127.30018812,52843,1121.243797,2021-08-16,16037,2266,14157,341.1524709999999,16962463.733419076,-1137
47,47,45906.48,44648.84,2288.389963,104816676.0157928,51968,1153.744192,2021-08-17,18104,2438,14776,120.93943500000023,3313548.715604678,-1258
